run_id,workload,secret_N,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
068f0fc7-0a6b-4fa2-a94e-4876c61e09f5,secret,1,2,2427.98079,10.569358746862246,139.8125,0.0,0.125,0
f8c0a697-40fc-4fcf-888d-2d1f28f46b23,secret,3,35,4576.389316,50.908125142559435,285.76953125,0.0,128.04296875,0
9ddadafc-db59-44e3-9e70-d3e6dd84bae0,secret,2,11,13202.933195,83.74827651318734,139.78125,0.0,1.0703125,0
21a62f0d-2ca5-4b5f-afe1-1409c4fb1d9f,secret,0,42,2643.218106,18.11810379600964,139.88671875,0.0,0.125,0
73ba088a-1cac-4df8-b075-e58335178e76,secret,3,49,4645.724239,50.27866226736667,323.08984375,0.0,128.86328125,0
baf15a34-01f5-45ab-9bd0-8074cff603ae,secret,0,14,2402.678081,10.992775190676907,139.7890625,0.0,0.125,0
5fc2e2d0-b5fa-4026-98f5-6d65d9c225c7,secret,2,5,13304.382692000001,83.2952663535725,139.79296875,0.0,1.0703125,0
c2c5df96-1267-474d-9732-d41d8960fd74,secret,0,31,2418.398428,11.01824235886412,139.87109375,0.0,0.125,0
0e3a9864-6a9a-437e-b805-3c8aad9ef316,secret,3,30,4706.4804699999995,48.88521294554528,362.5546875,0.0,128.86328125,0
e26d8dfe-bf23-4dca-9130-d1fe73142f22,secret,3,21,4555.0899899999995,51.35389213243623,268.40625,0.0,128.04296875,0
ee63d24f-f05e-4483-bbcf-fc27612a84ef,secret,2,6,13290.623164999999,83.71697746499157,140.01171875,0.0,1.0703125,0
90fa4c52-c881-4687-937b-ae2c236b4af2,secret,3,11,4606.242488000001,51.656941774099664,400.02734375,0.0,128.04296875,0
a2a18ecc-d41f-4882-b587-70a0e1efb57a,secret,2,20,13265.53276,83.54646737912094,139.88671875,0.0,1.0703125,0
6cec6918-b0ad-4579-85cc-60cff886c88f,secret,0,17,2394.516893,11.096559843731283,139.96484375,0.0,0.125,0
16075c39-773b-4237-8250-efb01512360c,secret,1,0,2399.491567,10.877512702673314,139.87890625,0.0,0.125,0
a566d7f5-fbfb-4428-bab6-7b721893ca13,secret,3,25,4589.620406,50.3791990504759,394.5703125,0.0,128.86328125,0
9db4b244-dd2d-4b2e-87b8-e301d94323d4,secret,0,48,2430.908446,11.036079965966763,139.77734375,0.0,0.125,0
f981b8f0-2ff2-4321-9118-28558bdf3966,secret,0,7,2508.975146,13.562788796154937,139.89453125,0.0,0.125,0
718a3e5d-ce3d-47d2-b921-93c66108ae7b,secret,2,19,13880.162768,84.17170025509314,140.01953125,0.0,1.0703125,0
a84c50aa-4923-42de-94ab-57d4def4733c,secret,1,17,2430.074389,11.219944592403996,139.78125,0.0,0.125,0
b876f1ab-9516-4aaf-83b5-09fa48b462f2,secret,2,36,13674.892017999999,83.66425844489619,140.10546875,0.0,1.0703125,0
86cfe631-16d1-46c3-a315-8d3643594f7c,secret,1,42,2423.061568,10.966498066300888,139.8984375,0.0,0.125,0
f0376d74-ab31-47fe-ba5b-e7ca84e66897,secret,1,22,2538.841105,13.334942440204426,139.78515625,0.0,0.125,0
fa1fa0c8-eb4e-4e90-b8f1-b686f3293a3e,secret,1,27,2553.612904,10.457888882911128,139.82421875,0.0,0.125,0
68e2f6b9-dd2b-4cb3-a8c5-9c1f83a1c23e,secret,3,31,4674.828125,51.40749425948145,400.10546875,0.0,128.04296875,0
2b422bbd-ed10-4dff-bfcf-304a2f16e0e4,secret,2,49,13030.120606,83.43487622819015,139.984375,0.0,1.0703125,0
a4bfb693-3a82-4328-bca7-8155f2c8b96f,secret,0,5,2433.27897,10.978806922413833,139.78125,0.0,0.125,0
5a0f95ad-33d2-4cfc-99db-cf40952ad75a,secret,3,32,4684.4220510000005,51.42973826377797,400.31640625,0.0,128.04296875,0
6c674b91-e41f-4f0e-a516-a458656a4741,secret,3,29,4521.999723000001,51.31908761950182,275.63671875,0.0,128.04296875,0
c3da40ee-73c1-49c9-9a6b-acd5887ec90a,secret,0,9,2417.570601,11.237644927003313,139.78515625,0.0,0.125,0
e4b1e9a8-cf9e-45b6-baae-972147bb7590,secret,3,47,4817.815688,50.30416597373163,370.60546875,0.0,128.86328125,0
9e1c111f-c72c-469a-808c-3723194eb7dc,secret,1,18,2451.129522,10.944790864462526,139.875,0.0,0.125,0
e9882d1c-50b5-4455-a73e-ea63da99da8d,secret,2,3,13433.610971,83.5729352609373,249.97265625,0.0,1.0703125,0
da7b18d7-4f0b-42fe-b629-0364b3e5417e,secret,3,8,4611.991329,51.784204037474666,400.12109375,0.0,128.04296875,0
12ce34b9-09e2-4f2b-878b-3eb31e44cae0,secret,2,33,13283.060036,83.63046594604731,139.85546875,0.0,1.0703125,0
140bae81-6bfb-43a3-92e1-857065a7f370,secret,0,47,2413.973409,11.342295610183333,139.96484375,0.0,0.125,0
766a0b11-8e93-40dd-913a-758e18eb292b,secret,3,48,4542.594124,51.34486895224101,268.0859375,0.0,128.04296875,0
83256c4d-64ff-4ca2-a3cd-cd38f923168a,secret,3,16,4606.578671,50.271864769809326,353.62109375,0.0,128.86328125,0
77d02641-05e9-4b5e-a8b3-245894d71fa9,secret,0,8,2419.8896219999997,10.983848088919157,139.921875,0.0,0.125,0
305bb995-b669-457f-b68f-c4846c8f32d4,secret,2,39,13141.937301,83.52846881383854,139.859375,0.0,1.0703125,0
f7f4e033-24f1-4f37-898d-1430296983d9,secret,1,4,2433.703668,10.743049921721202,139.8984375,0.0,0.125,0
6bb0f511-3afb-4686-95a5-9b7dcd257e4d,secret,3,4,4601.979933,50.46175849980613,400.0,0.0,128.86328125,0
ec00c2fd-852b-4e3a-a19c-1a2125fd0a2a,secret,2,38,13130.496558,83.10726065688215,139.90234375,0.0,1.0703125,0
1987ff72-374e-4861-93c7-54acd22b310b,secret,2,21,13292.880878,83.01242673634978,139.859375,0.0,1.0703125,0
546d1219-47ab-4968-8752-83215055ef0c,secret,2,4,13163.671656,83.39797046666779,140.01953125,0.0,1.0703125,0
7d6944f0-c2ba-45e6-a9c5-86a64b4f4525,secret,1,6,2451.813644,10.672915563561487,139.984375,0.0,0.125,0
96a3ce5b-5dba-465e-91a4-659cd49ccfb0,secret,2,45,13482.778378,84.11835959942825,140.02734375,0.0,1.0703125,0
1251cb43-57e0-4562-a41a-98e927c2f1b6,secret,1,40,2412.039335,11.387915446246238,140.015625,0.0,0.125,0
