run_id,workload,secret_N,mitigation,rep,runtime_ms,avg_cpu_percent,max_mem_mib,blk_read_mib,blk_write_mib,exit_code
9f8f8791-d1f7-4c70-adf3-9b40f28bcf59,secret,1,none,28,2481.344805,10.885347310689454,139.87109375,0.0,0.125,0
efc8327c-506b-4f51-b849-f98a900325ba,secret,0,none,28,2448.45336,11.100558599164005,139.92578125,0.0,0.125,0
49e2c4b4-3ecd-451b-a007-9dffbd64025f,secret,0,none,29,2478.813916,10.988158418907311,139.94140625,0.0,0.125,0
427de3aa-b345-443b-a208-d9eabfc6531a,secret,1,low,23,10206.534599999999,78.5005225965726,139.859375,0.0,64.0,0
65952526-5aff-4685-b9f4-f65038692075,secret,0,low,6,10227.300934,78.4433845427316,140.1328125,0.0,64.0,0
8a4019ea-570c-4fc0-8bdf-3c2a5173a75e,secret,0,none,25,2470.341208,11.127126856396593,139.89453125,0.0,0.125,0
c607cedb-ec2c-49bc-9563-06d7585c08ba,secret,1,high,12,20219.518978,89.06274684177107,140.078125,0.0,140.0,0
69ba4540-63cc-419f-bebd-831587a51d94,secret,2,low,3,13373.875471,83.13786100453812,139.83203125,0.0,64.8203125,0
3844a6f2-7f32-4731-830b-9140c851e65f,secret,1,high,5,20202.620027999998,89.14667491166459,140.10546875,0.0,140.0,0
5f733a1a-a022-4c08-86f6-72a2cd4edfa6,secret,0,high,26,20231.490765,89.12533539641016,139.984375,0.0,140.0,0
c56206c7-3017-432c-9c8a-f4b94514d2eb,secret,2,low,18,13384.964499,83.88043166523754,139.8515625,0.0,64.8203125,0
66f9f1d9-f937-4cae-8a9a-db00e345bc96,secret,3,high,25,20235.218819,88.77843210240998,414.26953125,0.0,140.0,0
74d27f89-c492-4396-a06b-85f1bf7686cf,secret,3,none,26,4595.923522,51.30648908130374,399.98828125,0.0,128.04296875,0
8f564b29-8cbe-42b8-8188-885f843a87a8,secret,2,high,9,20179.045699,89.3711886528594,284.15234375,0.0,140.8203125,0
e9530f2a-a2a6-4ea5-b757-f4fff78deb0b,secret,0,high,15,20254.258914000002,88.95794744455392,140.19140625,0.0,140.0,0
18ad2444-d2d0-4f60-b41d-0b834de43115,secret,1,none,4,2480.149079,10.779190745573727,139.7734375,0.0,0.125,0
eceeec46-3288-4933-8aa7-8f91fe681c83,secret,3,low,4,10188.07234,78.23290544087361,400.0234375,0.0,128.04296875,0
728d6dd3-1b3e-4ba5-807f-de466d3b67bc,secret,2,none,19,13464.052694,83.2860153985966,140.00390625,0.0,1.0703125,0
8dbed22a-f8e9-4f40-aded-61cbd391a586,secret,3,high,2,20216.943900000002,88.71023280625516,414.22265625,0.0,140.0,0
05748bb5-255a-4007-b664-3c5afabd7380,secret,0,high,3,20245.68546,88.80808721207902,140.0859375,0.0,140.0,0
b9c01519-3043-4480-a813-c32d942ef8ec,secret,3,none,25,4603.860657,51.20921712553038,400.03515625,0.0,128.04296875,0
6032ee9d-1ebe-4228-b14d-5a1f39cdfd26,secret,3,high,21,20254.802718,88.77846528724703,414.4140625,0.0,140.0,0
3f129cd5-23fd-4fb8-82fd-af5340caadd9,secret,1,low,10,10238.862814,78.4780804857847,139.91015625,0.0,64.0,0
e5b49edf-44e1-432d-ac83-6a5117f5656d,secret,0,high,14,20249.396378,88.59468531857489,140.109375,0.0,140.0,0
8b19f941-10fe-491e-8d1f-50a199d85b23,secret,3,none,6,4637.252987,50.99221471481042,400.03515625,0.0,128.04296875,0
9beaa9f1-46d4-4ecf-9fcd-8a511307beb9,secret,1,high,26,20222.048255,89.24726008176563,139.80859375,0.0,140.0,0
a824c5be-8100-406a-8536-5d4af96fc00c,secret,3,low,21,10216.009807,77.98609389099228,399.90234375,0.0,128.04296875,0
bd1cce1c-179e-4c19-89b2-efbe60ef74b4,secret,3,low,3,10237.287325000001,77.86851874844687,399.93359375,0.0,128.04296875,0
5aec81d8-aedd-4834-afac-34b9f9a33e42,secret,0,none,12,2445.546468,11.146670225527687,139.8203125,0.0,0.125,0
3a342053-32fd-4a7c-ba56-411a69f870ee,secret,2,low,10,13722.148349,83.48656280803775,139.828125,0.0,64.8203125,0
5161893a-bd2d-4d5c-a0cf-e0f1f319d211,secret,0,none,18,2458.275159,11.155952131557132,139.94921875,0.0,0.125,0
08cdd54a-fda6-45bd-b00c-ba1a90f5921b,secret,1,low,12,10174.61873,79.00866079922388,139.86328125,0.0,64.0,0
f209e05e-3a52-41c4-8d54-c5dfc8b4d7be,secret,0,low,26,10447.026606,77.09174393577686,139.90625,0.0,64.0,0
b69e7cbd-6ed1-4f88-a88d-6bd8a41db8bd,secret,2,high,23,20205.001902,88.89039004852653,140.23046875,0.0,140.8203125,0
7413a34a-00fd-4e08-b3a1-a04590d2066f,secret,2,high,13,20212.578611,88.91744267710148,139.9609375,0.0,140.8203125,0
dccc11f5-24b6-42e3-a2f6-955e02ed14c1,secret,1,high,22,20170.142781,89.37165292146872,140.17578125,0.0,140.0,0
